,date,None,"Xeon Phi, NVIDIA",NVIDIA,IBM Cell,Intel Xeon Phi,AMD
15,199306,500,0.0,0.0,0.0,0.0,0.0
41,199311,500,0.0,0.0,0.0,0.0,0.0
2,199406,500,0.0,0.0,0.0,0.0,0.0
20,199411,500,0.0,0.0,0.0,0.0,0.0
0,199506,500,0.0,0.0,0.0,0.0,0.0
23,199511,500,0.0,0.0,0.0,0.0,0.0
39,199606,500,0.0,0.0,0.0,0.0,0.0
19,199611,500,0.0,0.0,0.0,0.0,0.0
35,199706,500,0.0,0.0,0.0,0.0,0.0
13,199711,500,0.0,0.0,0.0,0.0,0.0
28,199806,500,0.0,0.0,0.0,0.0,0.0
7,199811,500,0.0,0.0,0.0,0.0,0.0
33,199906,500,0.0,0.0,0.0,0.0,0.0
10,199911,500,0.0,0.0,0.0,0.0,0.0
24,200006,500,0.0,0.0,0.0,0.0,0.0
4,200011,500,0.0,0.0,0.0,0.0,0.0
25,200106,500,0.0,0.0,0.0,0.0,0.0
3,200111,500,0.0,0.0,0.0,0.0,0.0
36,200206,500,0.0,0.0,0.0,0.0,0.0
12,200211,500,0.0,0.0,0.0,0.0,0.0
40,200306,500,0.0,0.0,0.0,0.0,0.0
18,200311,500,0.0,0.0,0.0,0.0,0.0
1,200406,500,0.0,0.0,0.0,0.0,0.0
21,200411,500,0.0,0.0,0.0,0.0,0.0
22,200506,500,0.0,0.0,0.0,0.0,0.0
30,200511,500,0.0,0.0,0.0,0.0,0.0
5,200606,500,0.0,0.0,0.0,0.0,0.0
27,200611,500,0.0,0.0,0.0,0.0,0.0
9,200706,500,0.0,0.0,0.0,0.0,0.0
26,200711,500,0.0,0.0,0.0,0.0,0.0
34,200806,500,0.0,0.0,0.0,0.0,0.0
8,200811,500,0.0,0.0,0.0,0.0,0.0
29,200906,500,0.0,0.0,0.0,0.0,0.0
6,200911,500,0.0,0.0,0.0,0.0,0.0
31,201006,500,0.0,0.0,0.0,0.0,0.0
16,201011,500,0.0,0.0,0.0,0.0,0.0
38,201106,481,0.0,12.0,5.0,0.0,2.0
17,201111,461,0.0,35.0,2.0,0.0,2.0
14,201206,442,0.0,53.0,2.0,1.0,2.0
37,201211,438,0.0,50.0,2.0,7.0,3.0
32,201306,446,1.0,39.0,0.0,11.0,3.0
11,201311,447,2.0,37.0,0.0,12.0,2.0
