,#1,date,max,mean,min
0,1024,199306,2048,142.24,1
1,140,199311,2048,134.38,1
2,3680,199406,3680,110.824,1
3,140,199411,3680,128.726,1
4,140,199506,3680,97.886,1
5,140,199511,3680,98.644,1
6,1024,199606,3680,105.648,1
7,2048,199611,3680,117.016,1
8,7264,199706,7264,123.67,2
9,9152,199711,9152,127.832,2
10,9152,199806,9152,142.298,2
11,9152,199811,9152,173.248,3
12,9472,199906,9472,188.318,4
13,9632,199911,9632,225.826,4
14,9632,200006,9632,231.316,6
15,8192,200011,9632,280.606,8
16,8192,200106,9632,305.726,8
17,8192,200111,9632,323.348,8
18,5120,200206,9632,402.482,12
19,5120,200211,9632,439.434,16
20,5120,200306,9632,491.514,28
21,5120,200311,9632,534.042,36
22,5120,200406,9632,641.168,60
23,32768,200411,32768,818.11,50
24,65536,200506,65536,1160.672,50
25,131072,200511,131072,1464.954,50
26,131072,200606,131072,1747.19,40
27,131072,200611,131072,2041.922,40
28,131072,200706,131072,2442.228,40
29,212992,200711,212992,3296.19,50
30,122400,200806,212992,4828.438,80
31,129600,200811,212992,6233.846,128
32,129600,200906,294912,8209.466,1152
33,224162,200911,294912,9329.254,1280
34,224162,201006,294912,10262.922,1280
35,186368,201011,294912,12944.654,1280
36,548352,201106,548352,15559.848,1280
37,705024,201111,705024,18385.622,1280
38,1572864,201206,1572864,26855.89,1280
39,560640,201211,1572864,29771.6,1280
40,3120000,201306,3120000,38692.792,1280
41,3120000,201311,3120000,41441.386,1280
