,date,clock,name,technology
736,1993-06-01,72.0,Ross,CMOS
718,1993-08-01,100.0,MIPS,CMOS
346,1993-09-01,80.0,IBM,CMOS
352,1994-03-01,93.0,NexGen,CMOS
721,1994-03-01,133.0,MIPS,CMOS
719,1994-03-01,133.0,MIPS,CMOS
380,1994-03-01,100.0,Intel,BICMOS
733,1994-04-01,66.0,Motorola,CMOS
713,1994-05-01,200.0,MIPS,CMOS
166,1994-06-01,275.0,DEC,CMOS
720,1994-06-01,150.0,MIPS,CMOS
219,1994-06-01,100.0,Ross,CMOS
218,1994-06-01,85.0,Fujitsu,CMOS
220,1994-06-01,125.0,Ross,CMOS
250,1994-06-01,120.0,Hitachi,BICMOS
217,1994-06-01,70.0,Fujitsu,CMOS
216,1994-06-01,60.0,Fujitsu,CMOS
167,1994-06-01,300.0,DEC,CMOS
163,1994-06-01,225.0,DEC,CMOS
164,1994-06-01,233.0,DEC,CMOS
165,1994-06-01,266.0,DEC,CMOS
726,1994-06-07,75.0,MIPS,CMOS
727,1994-06-07,75.0,MIPS,CMOS
381,1994-07-01,100.0,Intel,BICMOS
169,1994-09-07,266.0,DEC,CMOS
173,1994-09-07,350.0,DEC,CMOS
168,1994-09-07,250.0,DEC,CMOS
172,1994-09-07,333.0,DEC,CMOS
171,1994-09-07,300.0,DEC,CMOS
170,1994-09-07,291.0,DEC,CMOS
356,1994-12-01,100.0,IBM,CMOS
349,1995-02-01,66.0,IBM,CMOS
345,1995-02-01,66.0,IBM,CMOS
382,1995-03-01,120.0,Intel,BICMOS
212,1995-06-01,110.0,Fujitsu,CMOS
348,1995-06-01,120.0,IBM,CMOS
142,1995-06-01,120.0,Cyrix,CMOS
748,1995-06-01,75.0,Sun,BICMOS
749,1995-06-01,90.0,Sun,BICMOS
691,1995-06-01,133.0,Intel,BICMOS
708,1995-07-01,240.0,MIPS,CMOS
347,1995-07-01,133.0,IBM,CMOS
709,1995-07-01,250.0,MIPS,CMOS
215,1995-08-01,150.0,Ross,CMOS
214,1995-10-01,118.0,HAL,CMOS
350,1995-10-01,100.0,IBM,CMOS
213,1995-10-01,101.0,HAL,CMOS
181,1995-10-01,480.0,DEC,CMOS
