,AIX,HP Unix (HP-UX),IRIX,Linux,OSF/1,Others,Solaris,UNICOS,date
15,0.0,0.0,0.0,0.0,22.0,285,0.0,193.0,199306
41,6.0,0.0,0.0,0.0,25.0,281,0.0,188.0,199311
2,12.0,0.0,25.0,0.0,56.0,248,0.0,159.0,199406
20,28.0,0.0,60.0,0.0,49.0,218,0.0,145.0,199411
0,72.0,0.0,127.0,0.0,39.0,137,0.0,125.0,199506
23,116.0,0.0,125.0,0.0,26.0,141,0.0,92.0,199511
39,106.0,0.0,114.0,0.0,25.0,151,0.0,104.0,199606
19,126.0,9.0,91.0,0.0,18.0,125,0.0,131.0,199611
35,71.0,65.0,94.0,0.0,12.0,90,60.0,108.0,199706
13,76.0,26.0,104.0,0.0,12.0,83,86.0,113.0,199711
28,75.0,25.0,93.0,1.0,7.0,81,111.0,107.0,199806
7,105.0,14.0,105.0,1.0,4.0,67,126.0,78.0,199811
33,118.0,39.0,91.0,17.0,3.0,60,95.0,77.0,199906
10,141.0,45.0,52.0,18.0,3.0,62,113.0,66.0,199911
24,143.0,47.0,37.0,28.0,1.0,68,122.0,54.0,200006
4,214.0,5.0,19.0,53.0,0.0,70,92.0,47.0,200011
25,197.0,41.0,30.0,43.0,0.0,63,81.0,45.0,200106
3,153.0,153.0,20.0,38.0,0.0,67,30.0,39.0,200111
36,132.0,145.0,24.0,67.0,0.0,71,35.0,26.0,200206
12,105.0,112.0,34.0,72.0,0.0,67,88.0,22.0,200211
40,102.0,131.0,38.0,135.0,0.0,58,10.0,26.0,200306
18,78.0,121.0,28.0,183.0,0.0,61,9.0,20.0,200311
1,75.0,80.0,3.0,278.0,0.0,49,3.0,12.0,200406
21,54.0,101.0,1.0,295.0,0.0,36,4.0,9.0,200411
22,52.0,73.0,1.0,303.0,0.0,50,6.0,15.0,200506
30,43.0,31.0,0.0,351.0,0.0,59,4.0,12.0,200511
5,44.0,33.0,0.0,351.0,0.0,55,5.0,12.0,200606
27,43.0,27.0,0.0,326.0,0.0,91,5.0,8.0,200611
9,36.0,15.0,0.0,347.0,0.0,95,4.0,3.0,200706
26,24.0,0.0,0.0,381.0,0.0,90,2.0,3.0,200711
34,23.0,0.0,0.0,378.0,0.0,97,0.0,2.0,200806
8,21.0,0.0,0.0,389.0,0.0,89,0.0,1.0,200811
29,21.0,0.0,0.0,387.0,0.0,92,0.0,0.0,200906
6,22.0,0.0,0.0,391.0,0.0,87,0.0,0.0,200911
31,19.0,0.0,0.0,405.0,0.0,76,0.0,0.0,201006
16,17.0,0.0,0.0,410.0,0.0,73,0.0,0.0,201011
38,21.0,0.0,0.0,413.0,0.0,66,0.0,0.0,201106
17,28.0,0.0,0.0,414.0,0.0,58,0.0,0.0,201111
14,22.0,0.0,0.0,419.0,0.0,59,0.0,0.0,201206
37,18.0,0.0,0.0,419.0,0.0,63,0.0,0.0,201211
32,15.0,0.0,0.0,417.0,0.0,68,0.0,0.0,201306
11,11.0,0.0,0.0,414.0,0.0,75,0.0,0.0,201311
