,Academic,Classified,Government,Industry,Others,Research,Vendor,date
0,137,43,,83,,179,58,199506
1,94,19,3.0,243,,115,26,200406
2,146,23,1.0,121,,154,55,199406
3,88,29,3.0,260,,108,12,200111
4,94,27,8.0,244,,112,15,200011
5,83,24,4.0,257,,118,14,200606
6,79,5,9.0,312,,91,4,200911
7,100,45,4.0,207,,128,16,199811
8,93,1,7.0,305,,85,9,200811
9,91,7,2.0,268,,124,8,200706
10,84,33,5.0,245,,115,18,199911
11,101,32,9.0,225,,117,16,200211
12,134,22,,161,,170,13,199711
13,98,4,12.0,256,,120,10,201206
14,146,20,,154,,157,23,199306
15,80,10,12.0,282,,110,6,201011
16,75,8,9.0,288,,112,8,201111
17,108,29,3.0,214,,119,27,200311
18,139,31,,153,,157,20,199611
19,153,21,,104,,173,49,199411
20,80,15,1.0,276,,109,19,200411
21,92,16,1.0,265,,112,14,200506
22,151,35,,128,,158,28,199511
23,82,31,6.0,260,,105,16,200006
24,97,37,3.0,236,,114,13,200106
25,87,3,15.0,286,,101,8,200711
26,86,20,4.0,246,,133,11,200611
27,113,33,,184,,157,13,199806
28,80,3,7.0,313,,89,8,200906
29,72,22,4.0,266,,120,16,200511
30,79,12,12.0,300,,92,5,201006
31,87,4,17.0,269,1.0,114,8,201306
32,80,43,3.0,239,,117,18,199906
33,98,1,10.0,287,2.0,91,11,200806
34,133,24,,162,,158,23,199706
35,97,25,2.0,245,,114,17,200206
36,97,4,18.0,247,,121,13,201211
37,79,8,16.0,285,,105,7,201106
38,138,48,,144,,153,17,199606
39,115,27,3.0,204,,129,22,200306
40,144,20,,139,,158,39,199311
